country,attained_grade,age_group,adminregion,year,adminregionname,category,literacy_rate
Bangladesh,1,15to19,SAS,2019,South Asia (excluding high income),All,0.9636968374252319
Bangladesh,1,20to29,SAS,2019,South Asia (excluding high income),All,0.9247770309448242
Bangladesh,1,30to39,SAS,2019,South Asia (excluding high income),All,0.8075621128082275
Bangladesh,1,40to49,SAS,2019,South Asia (excluding high income),All,0.6099254488945007
Benin,1,15to19,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.7647238969802856
Benin,1,20to29,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.5894485712051392
Benin,1,30to39,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.42187783122062683
Benin,1,40to49,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.37754493951797485
Albania,1,15to19,ECA,2017,Europe and Central Asia (excluding high income),All,0.9910789132118225
Albania,1,20to29,ECA,2017,Europe and Central Asia (excluding high income),All,0.9842941761016846
Albania,1,30to39,ECA,2017,Europe and Central Asia (excluding high income),All,0.9768013954162598
Albania,1,40to49,ECA,2017,Europe and Central Asia (excluding high income),All,0.9893540740013123
Burundi,1,15to19,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.9346935153007507
Burundi,1,20to29,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.7450838685035706
Burundi,1,30to39,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.6157296895980835
Burundi,1,40to49,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.4184686839580536
Afghanistan,1,15to19,SAS,2015,South Asia (excluding high income),All,0.6690908670425415
Afghanistan,1,20to29,SAS,2015,South Asia (excluding high income),All,0.46089890599250793
Afghanistan,1,30to39,SAS,2015,South Asia (excluding high income),All,0.29279062151908875
Afghanistan,1,40to49,SAS,2015,South Asia (excluding high income),All,0.2509814500808716
Armenia,1,15to19,ECA,2015,Europe and Central Asia (excluding high income),All,0.9973503351211548
Armenia,1,20to29,ECA,2015,Europe and Central Asia (excluding high income),All,0.9982350468635559
Armenia,1,30to39,ECA,2015,Europe and Central Asia (excluding high income),All,0.9978351593017578
Armenia,1,40to49,ECA,2015,Europe and Central Asia (excluding high income),All,0.9978001713752747
Angola,1,15to19,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.9142944812774658
Angola,1,20to29,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.8537697196006775
Angola,1,30to39,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.7757245302200317
Angola,1,40to49,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.7864683270454407
Burkina Faso,1,15to19,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.47801512479782104
Burkina Faso,1,20to29,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.3584822416305542
Burkina Faso,1,30to39,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.25319012999534607
Burkina Faso,1,40to49,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.1624588966369629
Azerbaijan,1,15to19,ECA,2006,Europe and Central Asia (excluding high income),All,0.9857345819473267
Azerbaijan,1,20to29,ECA,2006,Europe and Central Asia (excluding high income),All,0.9914277195930481
Azerbaijan,1,30to39,ECA,2006,Europe and Central Asia (excluding high income),All,0.9909155368804932
Azerbaijan,1,40to49,ECA,2006,Europe and Central Asia (excluding high income),All,0.9903620481491089
Bulgaria,1,15to19,ECA,2001,Europe and Central Asia (excluding high income),All,0.9621710777282715
Bulgaria,1,20to29,ECA,2001,Europe and Central Asia (excluding high income),All,0.9811394810676575
Bulgaria,1,30to39,ECA,2001,Europe and Central Asia (excluding high income),All,0.9873853325843811
Bulgaria,1,40to49,ECA,2001,Europe and Central Asia (excluding high income),All,0.9811276197433472
Bangladesh,2,15to19,SAS,2019,South Asia (excluding high income),All,0.9547865390777588
Bangladesh,2,20to29,SAS,2019,South Asia (excluding high income),All,0.912032425403595
Bangladesh,2,30to39,SAS,2019,South Asia (excluding high income),All,0.7855781316757202
Bangladesh,2,40to49,SAS,2019,South Asia (excluding high income),All,0.5821163058280945
Benin,2,15to19,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.7548505067825317
Benin,2,20to29,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.5765549540519714
Benin,2,30to39,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.40672945976257324
Benin,2,40to49,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.364897221326828
Albania,2,15to19,ECA,2017,Europe and Central Asia (excluding high income),All,0.9855561852455139
Albania,2,20to29,ECA,2017,Europe and Central Asia (excluding high income),All,0.9803438186645508
Albania,2,30to39,ECA,2017,Europe and Central Asia (excluding high income),All,0.971110999584198
Albania,2,40to49,ECA,2017,Europe and Central Asia (excluding high income),All,0.984624445438385
Burundi,2,15to19,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.9129242897033691
Burundi,2,20to29,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.7271076440811157
Burundi,2,30to39,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.5994107127189636
